fold,alpha,l1_ratio,ret_1m,ret_3m,ret_6m,ret_12m,vol_12m,max_dd_12m,sharpe_12m,vol_intrames,autocorr_diaria,ratio_dias_cero,skewness_12m,hit_rate_12m,distribution_yield_12m,persistencia_rank_12m,fee,log_n_instrumentos,pct_acum,fee_observado,concentracion_disponible,ret_3m_rank,ret_12m_rank,vol_12m_rank,sharpe_12m_rank,max_dd_12m_rank,fee_rank,log_n_instrumentos_rank,pct_acum_rank,vol_intrames_rank,autocorr_diaria_rank,ratio_dias_cero_rank,skewness_12m_rank,hit_rate_12m_rank
0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.1,0.1,0.00041053069620484935,0.0,0.0,-0.0040085318063377475,-0.01120965311846,0.0,-0.014880238187213119,-0.009291496967875618,-0.0,0.004265312303936171,-0.0,0.0,-0.02803902858437581,0.03397957685297286,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.00136523556876991,0.03255738342873997,0.0,-0.020302075106706688,0.016396155647811272,0.01636622950264734,-0.00019400424991465978,-0.01782611875893328,0.0,-0.01887021766011426,0.023471866792764716
4,0.1,0.1,0.0,0.0,0.0,-0.0,0.0,-0.003785280265899801,-0.0,-0.0,-0.0,0.004204607567577924,0.0,0.0,-0.0,0.0350101312270012,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005158258623553644,0.030217306523458783,-0.0,-0.0012505326138421806,0.01616112447374559,0.01613007877593618,0.0,-0.014198786902916132,0.0,-0.015339660270813522,0.02595660743225319
5,0.01,0.5,-0.0,0.0,0.02212973459152992,-0.012725311734249272,-0.0508619188523232,-0.045591041113572844,-0.01149482339902461,0.0,-0.0,0.005582000557381838,0.014513012478870624,-0.0,0.0,0.03445563541418186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044511700114968814,-0.020340091383411703,-0.0,0.014703181051291807,0.013699066834487869,-0.0,-0.01008985924789682,0.0,-0.0068902578384925275,0.0306328713479624
6,0.1,0.5,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.004422298672854036,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.009309089276371215
7,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.1,0.1,-0.0,0.0,0.0,0.0,-0.017205986299311252,0.0025894069194998762,0.0,-0.0,-0.0,0.003572964995510574,0.003119585017510804,0.0,0.012215961749008054,0.006074570938276281,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.012631052541423235,0.0,-0.0,0.0027815897220619433,0.0027659075016181877,-0.0,-0.0,0.003682919432725668,0.0030038808476182607,0.004329492733313933
9,0.1,0.1,-0.0,0.0,0.0010504947850654533,-0.0,-0.000870661784252279,0.002794770821432516,0.0,-0.00034598650889507176,0.0,0.0030553790368428153,0.0,0.0,0.022033824508101,0.00040479582956372246,-0.0,0.0,0.0,0.0,0.0,0.0,0.0005496254151196167,-0.0,0.0037643698479547815,0.010117980121807767,-0.0,0.001058298749647976,0.0010394295966136829,-0.0,0.0,0.0,0.007228750685649484,0.015142930716766916
