fold,alpha,l1_ratio,sharpe_12m_rank,ret_3m_rank,max_dd_12m,vol_intrames,autocorr_diaria
0,0.01,0.5,0.0008534392177119266,0.00350454842895733,-0.0,0.0,0.0004281214524145067
1,0.01,0.5,0.002112328993479569,0.0028150610141034747,0.0,-0.0,0.002405566168923806
2,1.0,0.1,0.0,0.0,0.0,0.0,0.0
3,0.01,0.5,0.0013208741576312087,0.0034474363193009957,0.0,0.0,0.0
4,0.01,0.5,0.0,0.0011361319419316905,0.0,0.0,0.0
5,0.01,0.5,0.0095608089486383,0.0011102571972350448,0.0,0.0,0.0
6,0.01,0.1,0.006935621858665216,0.016012853825211126,-0.0,0.0035319031454124545,0.0004134114056853181
7,0.01,0.5,0.0,0.012162286075555471,0.0,0.0,0.0
8,0.01,0.5,0.0,0.010932018873931451,0.0,0.0,0.0
9,0.01,0.1,0.0020624010644385627,0.01232499932895039,-0.003345804523538832,0.0,-0.0
