fold,alpha,l1_ratio,ret_1m,ret_3m,ret_6m,ret_12m,vol_12m,max_dd_12m,sharpe_12m,vol_intrames,autocorr_diaria,ratio_dias_cero,fee,log_n_instrumentos,fee_disponible,concentracion_disponible,ret_3m_rank,ret_12m_rank,vol_12m_rank,sharpe_12m_rank,fee_rank,log_n_instrumentos_rank,vol_intrames_rank,autocorr_diaria_rank,ratio_dias_cero_rank
0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.1,0.1,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.005854225768374041,0.0,0.0,-0.0,-0.0,0.0,-0.0
2,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.01,0.5,-0.0,0.0,0.0,0.0002943048834892191,-0.0,0.001471483492512816,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0019169122804245115,0.007986556409079611,-0.012214765284203387,0.0,0.0,-0.00669309325369116,0.0,-0.0,-0.0
6,0.01,0.5,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.013661259487894825,0.0,-0.0,0.00023169370067905977,0.0,-0.00588935183833355,0.0006027612483746124,-0.0,-0.0
7,0.01,0.5,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.006922783400046061,0.0,-0.0008831174704690606,0.0,0.0,-0.003535495021715368,-0.0,-0.0013067659539638286,0.0
8,0.01,0.5,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.005824560134564462,0.0,-0.003561175721073239,0.0,0.0,-0.0017463475910636935,-0.0,-0.0,0.0
9,0.01,0.1,0.0,0.00014116292523191603,0.0022556086708847125,-0.01315588933943202,0.0,-0.010586445235103556,0.013784445161957272,0.0,-0.0,0.0,0.0,-0.0013364107573115343,0.0,0.00023883756153439834,0.012074945005504956,0.0,-0.0040445651206802696,0.0029008639970872444,0.0014757128908173848,-0.008596831769272744,0.0,-0.003480936089602747,0.0
