fold,ret_1m,ret_3m,ret_6m,ret_12m,vol_12m,max_dd_12m,sharpe_12m,vol_intrames,autocorr_diaria,ratio_dias_cero,skewness_12m,hit_rate_12m,distribution_yield_12m,persistencia_rank_12m,fee,log_n_instrumentos,pct_acum,fee_observado,concentracion_disponible,ret_3m_rank,ret_12m_rank,vol_12m_rank,sharpe_12m_rank,max_dd_12m_rank,fee_rank,log_n_instrumentos_rank,pct_acum_rank,vol_intrames_rank,autocorr_diaria_rank,ratio_dias_cero_rank,skewness_12m_rank,hit_rate_12m_rank
0,54,13,36,65,63,63,21,14,44,17,58,11,9,19,0,0,0,0,0,59,36,29,53,44,17,13,2,12,66,7,32,13
1,52,37,17,18,138,80,33,43,77,29,64,0,68,45,46,0,0,0,0,72,37,81,46,48,6,29,7,38,67,10,14,47
2,62,100,24,32,129,74,65,71,102,34,69,4,69,67,12,0,0,0,0,80,58,58,46,44,72,22,10,54,57,46,34,77
3,66,95,25,51,111,102,75,63,41,44,74,1,75,94,5,0,0,0,0,68,63,75,55,61,84,65,19,55,67,50,54,87
4,36,72,60,36,144,123,99,58,78,31,76,3,101,100,12,0,0,0,0,77,64,79,40,78,121,79,23,66,66,44,55,87
5,35,71,61,60,148,139,63,74,26,20,93,3,115,83,18,0,0,0,0,67,42,79,35,143,155,128,24,102,94,46,52,87
6,58,69,90,69,126,146,87,41,25,23,98,10,165,87,16,0,0,0,0,79,59,149,97,175,121,95,34,91,69,43,71,81
7,42,46,81,73,102,128,133,42,37,14,119,1,167,90,26,0,0,0,0,100,70,133,86,136,117,168,35,114,104,62,121,117
8,76,49,106,110,73,125,161,84,40,14,116,9,155,84,42,0,0,0,0,100,97,124,104,96,135,145,45,106,99,42,118,108
9,44,45,124,102,71,179,147,68,32,16,135,27,193,68,46,0,0,0,0,132,99,113,152,105,131,128,44,126,56,49,115,141
10,61,42,94,92,75,175,126,58,62,13,150,32,219,66,78,0,0,0,0,110,73,114,125,134,150,123,26,106,35,54,142,169
11,86,49,142,111,82,163,136,59,48,7,133,23,218,110,96,0,0,0,0,123,95,111,115,136,172,231,62,108,39,61,147,140
12,66,50,130,102,76,165,135,79,62,0,125,28,205,82,26,0,0,0,0,99,108,153,112,96,138,305,70,98,48,72,186,157
13,69,71,135,134,130,206,122,79,32,0,130,15,250,107,60,0,0,0,0,122,83,178,111,174,162,222,58,124,32,56,172,192
14,81,96,140,152,140,190,161,119,45,1,122,37,282,94,35,0,0,0,0,125,108,202,88,190,146,185,48,136,27,42,132,148
15,73,107,150,165,158,192,135,124,63,0,133,13,329,78,44,0,0,0,0,138,88,234,87,171,162,194,47,134,16,34,110,160
16,91,110,138,171,224,147,156,126,61,0,127,22,298,90,58,0,0,0,0,109,121,201,86,199,173,202,64,142,13,37,91,150
17,91,91,131,181,219,163,160,106,43,0,126,25,295,89,49,33,5,0,0,117,107,193,87,206,143,187,83,156,24,30,122,174
18,79,95,118,155,200,239,139,121,49,0,132,17,288,112,32,10,19,0,11,102,94,188,70,168,105,187,146,120,36,21,117,159
19,101,94,98,141,225,266,142,96,91,3,108,25,240,104,21,20,61,0,0,118,164,160,64,177,134,176,134,102,37,25,106,185
20,66,75,107,134,178,315,118,87,40,0,110,11,273,110,55,39,79,0,1,105,155,159,96,167,112,169,180,99,27,16,127,176
21,50,96,131,128,187,312,106,84,34,3,120,15,252,108,35,25,85,0,0,99,155,155,130,177,156,169,175,109,32,18,133,172
22,89,92,109,116,220,299,101,83,56,5,107,22,291,105,64,32,74,0,0,120,119,159,111,142,148,116,245,104,27,33,148,142
23,86,99,169,117,209,369,121,86,47,1,109,19,285,111,36,52,65,0,0,106,177,161,134,123,193,157,202,115,27,49,147,151
24,68,114,116,79,173,342,95,108,59,5,118,24,283,90,108,31,109,0,0,87,168,173,114,149,126,146,259,90,44,51,133,133
25,54,86,112,131,134,299,105,94,92,1,121,24,257,99,67,31,138,0,0,84,151,177,93,143,185,125,306,82,46,76,151,139
26,69,115,136,80,185,269,100,98,98,7,138,20,249,132,59,31,204,0,0,93,165,175,90,181,157,129,246,85,51,77,117,180
27,79,126,104,100,223,279,126,108,117,1,136,34,241,123,48,18,161,0,0,101,154,151,68,174,195,108,218,105,50,69,97,189
28,84,132,107,117,199,290,114,95,107,1,116,35,255,133,90,19,166,0,0,110,161,147,60,190,170,124,242,84,34,67,123,185
