fold,ret_1m,ret_3m,ret_6m,ret_12m,vol_12m,max_dd_12m,sharpe_12m,vol_intrames,autocorr_diaria,ratio_dias_cero,skewness_12m,hit_rate_12m,distribution_yield_12m,persistencia_rank_12m,fee,log_n_instrumentos,pct_acum,fee_observado,concentracion_disponible,ret_3m_rank,ret_12m_rank,vol_12m_rank,sharpe_12m_rank,max_dd_12m_rank,fee_rank,log_n_instrumentos_rank,pct_acum_rank,vol_intrames_rank,autocorr_diaria_rank,ratio_dias_cero_rank,skewness_12m_rank,hit_rate_12m_rank
0,87,171,151,167,157,212,159,123,135,1,155,30,162,111,20,56,61,0,0,113,118,154,120,100,76,151,152,110,101,52,138,189
1,103,156,121,122,127,227,131,97,113,1,147,21,173,81,17,63,84,0,0,143,98,182,118,157,80,85,163,102,121,56,148,220
2,109,183,136,153,163,208,115,145,103,6,171,22,211,94,11,46,74,0,0,107,104,152,120,88,73,108,185,95,101,93,147,185
3,97,188,92,158,134,176,132,159,122,1,132,45,199,72,27,49,56,0,0,134,86,163,122,106,87,140,266,93,81,77,130,167
4,128,165,112,154,115,227,128,141,131,1,149,28,163,79,28,57,40,0,0,116,103,159,124,79,139,125,256,89,75,106,144,190
5,95,143,123,137,158,248,117,129,143,6,114,20,195,91,52,52,55,0,0,114,113,188,121,89,106,150,266,94,66,88,138,239
6,122,150,114,144,143,272,90,139,165,5,129,50,162,103,41,50,69,0,0,117,111,171,101,97,125,150,308,93,82,93,115,207
7,131,98,148,101,168,240,97,121,198,11,148,20,169,102,43,31,100,0,0,101,141,148,116,107,107,181,275,88,88,110,100,179
8,151,130,133,123,165,236,135,130,209,11,148,20,157,95,32,45,121,0,0,82,126,148,103,118,101,169,234,77,100,136,113,165
9,112,126,144,157,148,233,147,125,174,6,134,25,155,103,56,40,133,0,0,94,109,159,116,90,109,214,260,75,85,80,107,190
