fold,train_start,train_end,val_start,val_end,n_train,n_val,elastic_alpha,elastic_l1_ratio
0,1990-11-30,1995-10-31,1996-05-31,1997-04-30,246,112,1.0,0.1
1,1990-11-30,1996-10-31,1997-05-31,1998-04-30,351,122,1.0,0.1
2,1990-11-30,1997-10-31,1998-05-31,1999-04-30,469,132,1.0,0.1
3,1990-11-30,1998-10-31,1999-05-31,2000-04-30,597,186,0.1,0.1
4,1990-11-30,1999-10-31,2000-05-31,2001-04-30,748,292,0.1,0.1
5,1990-11-30,2000-10-31,2001-05-31,2002-04-30,969,392,0.01,0.5
6,1991-11-30,2001-10-31,2002-05-31,2003-04-30,1310,717,0.1,0.5
7,1992-11-30,2002-10-31,2003-05-31,2004-04-30,1802,906,1.0,0.1
8,1993-11-30,2003-10-31,2004-05-31,2005-04-30,2580,968,0.1,0.1
9,1994-11-30,2004-10-31,2005-05-31,2006-04-30,3469,1043,0.1,0.1
10,1995-11-30,2005-10-31,2006-05-31,2007-04-30,4375,1268,0.1,0.1
11,1996-11-30,2006-10-31,2007-05-31,2008-04-30,5428,1412,0.1,0.1
12,1997-11-30,2007-10-31,2008-05-31,2009-04-30,6642,1764,0.01,0.9
13,1998-11-30,2008-10-31,2009-05-31,2010-04-30,8113,1917,0.01,0.5
14,1999-11-30,2009-10-31,2010-05-31,2011-04-30,9812,1944,0.1,0.1
15,2000-11-30,2010-10-31,2011-05-31,2012-04-30,11531,1987,1.0,0.1
16,2001-11-30,2011-10-31,2012-05-31,2013-04-30,13129,2043,0.01,0.5
17,2002-11-30,2012-10-31,2013-05-31,2014-04-30,14608,2156,0.01,0.1
18,2003-11-30,2013-10-31,2014-05-31,2015-04-30,15882,2222,0.01,0.5
19,2004-11-30,2014-10-31,2015-05-31,2016-04-30,17123,2369,0.01,0.5
20,2005-11-30,2015-10-31,2016-05-31,2017-04-30,18435,2415,0.01,0.5
21,2006-11-30,2016-10-31,2017-05-31,2018-04-30,19671,2507,0.01,0.5
22,2007-11-30,2017-10-31,2018-05-31,2019-04-30,20791,2608,0.01,0.5
23,2008-11-30,2018-10-31,2019-05-31,2020-04-30,21745,2714,0.01,0.5
24,2009-11-30,2019-10-31,2020-05-31,2021-04-30,22562,2824,0.01,0.1
25,2010-11-30,2020-10-31,2021-05-31,2022-04-30,23394,2915,0.01,0.1
26,2011-11-30,2021-10-31,2022-05-31,2023-04-30,24306,2942,0.01,0.1
27,2012-11-30,2022-10-31,2023-05-31,2024-04-30,25232,2929,0.001,0.9
28,2013-11-30,2023-10-31,2024-05-31,2025-04-30,26068,2904,0.01,0.1
