fold,train_start,train_end,val_start,val_end,n_train,n_val,elastic_alpha,elastic_l1_ratio
0,2010-01-31,2014-12-31,2015-04-30,2016-03-31,10245,2361,0.001,0.9
1,2010-01-31,2015-12-31,2016-04-30,2017-03-31,12574,2410,0.001,0.9
2,2010-01-31,2016-12-31,2017-04-30,2018-03-31,14973,2499,0.001,0.9
3,2010-01-31,2017-12-31,2018-04-30,2019-03-31,17444,2597,0.001,0.9
4,2010-01-31,2018-12-31,2019-04-30,2020-03-31,20010,2711,0.001,0.9
5,2010-01-31,2019-12-31,2020-04-30,2021-03-31,22702,2817,0.001,0.5
6,2010-01-31,2020-12-31,2021-04-30,2022-03-31,25491,2909,0.01,0.1
7,2010-01-31,2021-12-31,2022-04-30,2023-03-31,28381,2945,0.01,0.1
8,2010-01-31,2022-12-31,2023-04-30,2024-03-31,31320,2934,0.01,0.1
9,2010-01-31,2023-12-31,2024-04-30,2025-03-31,34259,2910,0.01,0.1
