fold,train_start,train_end,val_start,val_end,n_train,n_val,elastic_alpha,elastic_l1_ratio
0,2010-01-31,2014-12-31,2015-07-31,2016-06-30,10245,2379,0.01,0.9
1,2010-01-31,2015-12-31,2016-07-31,2017-06-30,12574,2427,0.01,0.5
2,2010-01-31,2016-12-31,2017-07-31,2018-06-30,14973,2523,0.001,0.1
3,2010-01-31,2017-12-31,2018-07-31,2019-06-30,17444,2629,0.01,0.1
4,2010-01-31,2018-12-31,2019-07-31,2020-06-30,20010,2729,0.01,0.1
5,2010-01-31,2019-12-31,2020-07-31,2021-06-30,22699,2844,0.01,0.1
6,2010-01-31,2020-12-31,2021-07-31,2022-06-30,25488,2922,0.01,0.1
7,2010-01-31,2021-12-31,2022-07-31,2023-06-30,28375,2940,0.001,0.1
8,2010-01-31,2022-12-31,2023-07-31,2024-06-30,31314,2926,0.001,0.1
9,2010-01-31,2023-12-31,2024-07-31,2025-06-30,34247,2902,0.001,0.1
