fondo,min,max,n_dias_obs,anios_cobertura,vivo_al_final
FONDO_0001,2005-10-03,2026-04-30,5237,20.57221081451061,True
FONDO_0002,2006-04-12,2024-09-03,4580,18.39561943874059,False
FONDO_0003,2002-07-23,2026-04-30,6047,23.770020533880903,True
FONDO_0004,2001-05-18,2026-04-30,6352,24.95003422313484,True
FONDO_0005,1997-08-26,2026-05-01,7243,28.67898699520876,True
FONDO_0006,2002-08-14,2026-05-01,5991,23.71252566735113,True
FONDO_0007,2009-05-11,2026-05-01,4267,16.971937029431896,True
FONDO_0008,1999-01-01,2026-04-30,6913,27.326488706365502,True
FONDO_0009,1999-10-14,2026-04-30,6276,26.543463381245722,True
FONDO_0010,2003-10-08,2026-04-30,5491,22.559890485968516,True
FONDO_0011,2010-09-08,2025-10-31,3812,15.145790554414784,False
FONDO_0012,2007-10-02,2026-04-30,4543,18.576317590691307,True
FONDO_0013,2009-05-15,2026-04-30,4088,16.958247775496236,True
FONDO_0014,2013-05-21,2026-05-01,1995,12.944558521560575,True
FONDO_0015,2017-01-10,2026-05-01,1437,9.30321697467488,True
FONDO_0016,2015-08-21,2026-04-30,858,10.691307323750856,True
FONDO_0017,2010-05-26,2026-05-01,2673,15.931553730321697,True
FONDO_0018,2017-02-14,2026-05-01,1527,9.207392197125257,True
FONDO_0019,2017-01-05,2026-05-01,1583,9.316906228610542,True
FONDO_0020,2019-08-29,2026-05-01,1548,6.672142368240931,True
FONDO_0021,2014-08-20,2026-05-01,2548,11.696098562628336,True
FONDO_0022,2015-11-18,2026-04-29,1187,10.444900752908966,True
FONDO_0023,2012-06-01,2026-04-30,3532,13.911019849418206,True
FONDO_0024,2012-11-20,2026-05-01,3329,13.442847364818617,True
FONDO_0025,2019-12-11,2026-05-01,1307,6.3874058863791925,True
FONDO_0026,2018-10-17,2026-04-29,1718,7.531827515400411,True
FONDO_0027,2018-05-14,2026-04-30,2024,7.96167008898015,True
FONDO_0028,2013-11-01,2026-04-30,3127,12.492813141683778,True
FONDO_0029,2017-11-24,2026-04-30,2137,8.429842573579739,True
FONDO_0030,2017-10-24,2026-04-30,2158,8.514715947980836,True
FONDO_0031,2016-03-08,2026-04-30,2474,10.143737166324435,True
FONDO_0032,1995-01-04,2026-04-30,7855,31.318275154004105,True
FONDO_0033,1990-01-15,2026-05-01,9447,36.290212183436005,True
FONDO_0034,1994-07-29,2026-04-30,6380,31.753593429158112,True
FONDO_0035,1988-11-17,2026-05-01,9331,37.451060917180016,True
FONDO_0036,1988-11-17,2026-05-01,9323,37.451060917180016,True
FONDO_0037,2023-01-27,2023-04-04,46,0.1834360027378508,False
FONDO_0038,1997-07-01,2026-05-01,7483,28.83230663928816,True
FONDO_0039,1997-07-08,2026-04-30,7389,28.810403832991103,True
FONDO_0040,1999-04-29,2026-04-30,6697,27.003422313483917,True
FONDO_0041,2001-12-27,2026-04-30,6032,24.33949349760438,True
FONDO_0042,2004-11-26,2026-05-01,5343,21.426420260095824,True
FONDO_0043,2002-11-04,2026-04-30,5892,23.485284052019164,True
FONDO_0044,2004-09-01,2026-04-30,5570,21.659137577002053,True
FONDO_0045,2005-10-04,2026-04-29,5132,20.566735112936346,True
FONDO_0046,2014-12-04,2026-04-30,2753,11.403148528405202,True
FONDO_0047,2007-03-21,2026-04-29,4695,19.107460643394933,True
FONDO_0048,2008-01-16,2025-05-22,4327,17.347022587268995,False
FONDO_0049,2009-06-18,2026-04-30,4074,16.865160848733744,True
FONDO_0050,2010-05-19,2026-05-01,4026,15.950718685831623,True
FONDO_0051,2013-05-16,2026-04-30,3250,12.955509924709103,True
FONDO_0052,2013-01-25,2026-04-30,3325,13.259411362080767,True
FONDO_0053,2011-06-28,2026-04-30,3699,14.839151266255989,True
FONDO_0054,2024-01-02,2026-04-14,46,2.2806297056810405,True
FONDO_0055,2013-01-15,2026-04-29,3221,13.284052019164955,True
FONDO_0056,2016-11-18,2023-10-18,1770,6.913073237508556,False
FONDO_0057,2016-10-03,2026-04-30,2333,9.571526351813826,True
FONDO_0058,2011-03-30,2026-01-27,2944,14.830937713894592,False
FONDO_0059,2018-08-21,2026-05-01,1916,7.693360711841205,True
FONDO_0060,1998-04-06,2026-04-29,7194,28.06297056810404,True
FONDO_0061,2001-01-17,2026-04-30,6301,25.281314168377822,True
FONDO_0062,2019-04-10,2026-04-30,1683,7.055441478439425,True
FONDO_0063,2019-06-11,2026-04-30,1730,6.885694729637235,True
FONDO_0064,2019-03-22,2026-05-01,1788,7.110198494182067,True
FONDO_0065,2019-06-27,2026-05-01,1721,6.844626967830253,True
FONDO_0066,2005-12-30,2026-04-30,5114,20.331279945242983,True
FONDO_0067,2023-01-30,2023-04-04,46,0.17522245037645448,False
FONDO_0068,2023-01-27,2023-04-05,48,0.1861738535249829,False
FONDO_0069,2001-10-26,2021-06-11,4944,19.6249144421629,False
FONDO_0070,2023-01-31,2023-03-31,43,0.16153319644079397,False
FONDO_0071,2000-11-14,2026-04-30,6410,25.456536618754278,True
FONDO_0072,2023-01-30,2023-04-05,43,0.17796030116358658,False
FONDO_0073,1993-06-09,2026-04-30,8289,32.889801505817935,True
FONDO_0074,1993-02-19,2026-04-30,8370,33.190965092402465,True
FONDO_0075,1994-02-04,2026-04-30,8125,32.23271731690623,True
FONDO_0076,1992-05-21,2026-04-30,8550,33.94113620807666,True
FONDO_0077,2013-06-26,2026-04-30,3231,12.843258042436688,True
FONDO_0078,2012-12-21,2026-04-30,3358,13.35523613963039,True
FONDO_0079,2012-12-21,2026-04-30,3358,13.35523613963039,True
FONDO_0080,2000-04-12,2026-04-30,6564,26.04791238877481,True
FONDO_0081,2006-07-12,2026-05-01,4979,19.802874743326488,True
FONDO_0082,2006-06-26,2026-05-01,4984,19.8466803559206,True
FONDO_0083,2006-06-26,2026-05-01,4982,19.8466803559206,True
FONDO_0084,2006-04-26,2026-05-01,5025,20.01368925393566,True
FONDO_0085,2003-08-27,2026-05-01,5706,22.677618069815196,True
FONDO_0086,2007-05-14,2026-05-01,4740,18.965092402464066,True
FONDO_0087,2007-05-15,2026-05-01,4636,18.962354551676935,True
FONDO_0088,2007-05-14,2026-05-01,4666,18.965092402464066,True
FONDO_0089,2007-05-11,2026-05-01,4714,18.973305954825463,True
